# Issues derived from competitive/analysis.md - Folk Care Strategic Product Vision
# Format: title<TAB>body<TAB>labels

# ============================================
# ELDERLY PATIENT FEATURES (Issues 1-25)
# ============================================

[Patient] Caregiver continuity tracking	Track and display caregiver assignment history per patient. Show which caregivers have worked with each patient and for how long, to support continuity of care.	enhancement,patient-experience
[Patient] Preferred caregiver matching	Allow patients/families to indicate preferred caregivers. Scheduling should prioritize these matches when possible.	enhancement,patient-experience,scheduling
[Patient] Visit schedule visibility for patients	Create a simple, accessible view for patients to see upcoming visits - who's coming and when. Large fonts, high contrast, minimal complexity.	enhancement,patient-experience,accessibility
[Patient] Caregiver photo display	Show caregiver photos in patient-facing views so patients know who to expect at their door.	enhancement,patient-experience,mobile
[Patient] Routine preferences documentation	Allow documentation of patient routines and preferences (morning rituals, meal preferences, TV shows, etc.) that caregivers can reference.	enhancement,patient-experience,care-plans
[Patient] Simple arrival notifications	Send simple text/call notifications to patients when caregiver is on their way. Configurable by patient preference.	enhancement,patient-experience,notifications
[Patient] Minimal-friction patient interface	Design patient-facing features for elderly users: large buttons, simple language, no nested menus, voice support.	enhancement,patient-experience,accessibility,ux
[Patient] Patient dignity safeguards	Ensure all patient-facing communications treat them as adults, not children. Avoid patronizing language in all UI text.	enhancement,patient-experience,ux
[Patient] Patient feedback mechanism	Simple way for patients to indicate satisfaction with visits without complex surveys. Thumbs up/down or single emoji.	enhancement,patient-experience,feedback
[Patient] Emergency contact quick-dial	One-tap emergency contact calling from patient view of the app.	enhancement,patient-experience,mobile,safety
[Patient] Medication reminder integration	Optional medication reminders that sync with care plan medication schedules.	enhancement,patient-experience,care-plans,medications
[Patient] Patient-caregiver messaging	Simple, accessible messaging between patients and their regular caregivers.	enhancement,patient-experience,communication
[Patient] Visit history for patients	Let patients see a simple history of past visits - who came and when.	enhancement,patient-experience
[Patient] Accessibility audit - vision impairment	Audit all patient-facing UI for vision impairment accessibility. Screen reader support, high contrast modes.	enhancement,accessibility,patient-experience
[Patient] Accessibility audit - hearing impairment	Ensure all audio notifications have visual alternatives. Captions for any video content.	enhancement,accessibility,patient-experience
[Patient] Accessibility audit - motor impairment	Large touch targets, voice control options, reduced need for precise gestures.	enhancement,accessibility,patient-experience
[Patient] Patient language preferences	Support multiple languages in patient-facing UI. Start with Spanish, expand based on user demographics.	enhancement,accessibility,patient-experience,i18n
[Patient] Care transition documentation	When patient moves or changes agencies, provide clear handoff documentation for continuity.	enhancement,patient-experience,data-portability
[Patient] Patient-controlled data sharing	Let patients control what information is shared with family members vs. kept private.	enhancement,patient-experience,privacy
[Patient] Gentle technology onboarding	Create a simple onboarding flow for elderly patients who may be technology-averse.	enhancement,patient-experience,ux,onboarding
[Patient] Offline patient information access	Ensure patient-facing features work even with poor connectivity (common in elderly homes).	enhancement,patient-experience,offline-first
[Patient] Large print documentation export	Allow care plans and schedules to be exported/printed in large print format.	enhancement,patient-experience,accessibility
[Patient] Voice-activated visit info	"Hey, who's coming today?" - voice query support for visit information.	enhancement,patient-experience,accessibility,ai
[Patient] Patient wellness check-ins	Optional daily wellness check-in prompts that alert coordinators if not completed.	enhancement,patient-experience,safety
[Patient] Respect for patient autonomy	Design features that support patient decision-making rather than overriding it. Patient can decline visits, modify schedules.	enhancement,patient-experience,ux

# ============================================
# FAMILY PORTAL FEATURES (Issues 26-55)
# ============================================

[Family] Real-time visit visibility	Family dashboard showing current/upcoming visits, caregiver assignments, and visit status.	enhancement,family-portal
[Family] Visit completion notifications	Notify family members when visits start and complete. Configurable frequency.	enhancement,family-portal,notifications
[Family] Caregiver notes access	Allow families to view caregiver notes from visits (with appropriate privacy controls).	enhancement,family-portal,care-plans
[Family] Family-caregiver messaging	Secure messaging between family members and caregivers, with audit trail.	enhancement,family-portal,communication
[Family] Family-coordinator messaging	Direct line to care coordinator for questions and concerns.	enhancement,family-portal,communication
[Family] Billing transparency	Clear, understandable billing information. No surprise charges. Line-item detail.	enhancement,family-portal,billing
[Family] Invoice history and download	Complete invoice history with PDF download capability.	enhancement,family-portal,billing
[Family] Payment portal integration	Easy online payment options. Don't force paper checks in 2025.	enhancement,family-portal,billing
[Family] Care plan visibility	Family can view current care plan and goals. Understand what care is being provided.	enhancement,family-portal,care-plans
[Family] Care plan change notifications	Alert families when care plans are modified. Track changes over time.	enhancement,family-portal,care-plans,notifications
[Family] Medication tracking visibility	Families can see medication administration records and schedules.	enhancement,family-portal,medications
[Family] Health trend visibility	Simple visualizations of patient health trends over time (weight, vitals, mood).	enhancement,family-portal,analytics
[Family] Emergency contact management	Families can update emergency contacts directly through portal.	enhancement,family-portal
[Family] Document upload/download	Families can upload relevant documents (insurance, medical records) and download care documentation.	enhancement,family-portal,documents
[Family] Multiple family member access	Support multiple family members with different access levels (primary contact vs. read-only).	enhancement,family-portal,permissions
[Family] Family caregiver coordination	For cases with both professional and family caregivers, coordinate schedules and handoffs.	enhancement,family-portal,scheduling
[Family] Vacation/travel planning	Easy way for families to adjust schedules when patient is traveling or family is visiting.	enhancement,family-portal,scheduling
[Family] Agency contact information	Clear display of agency contact info, hours, after-hours emergency line.	enhancement,family-portal
[Family] Family onboarding guide	Welcome guide for new families explaining how to use the portal and what to expect.	enhancement,family-portal,onboarding
[Family] Satisfaction surveys	Periodic (non-annoying) satisfaction surveys to gather family feedback.	enhancement,family-portal,feedback
[Family] Issue reporting mechanism	Easy way for families to report concerns without confrontation.	enhancement,family-portal,feedback
[Family] Family mobile app	Dedicated mobile app for family members (not just web portal).	enhancement,family-portal,mobile
[Family] Push notifications	Mobile push notifications for important updates (configurable).	enhancement,family-portal,mobile,notifications
[Family] Photo sharing from visits	Optional photo sharing from caregivers to families (with patient consent).	enhancement,family-portal,communication
[Family] Video check-in capability	Optional video calls between families and patients during visits.	enhancement,family-portal,communication
[Family] Care coordination calendar	Shared calendar showing all care-related appointments (doctor visits, therapy, home care).	enhancement,family-portal,scheduling
[Family] Family respite coordination	For family caregivers, coordinate respite care scheduling.	enhancement,family-portal,scheduling
[Family] Transition of care support	When patient hospitalized or moves to facility, support family through transition.	enhancement,family-portal,care-plans
[Family] Grief and bereavement resources	Sensitive handling of end-of-life situations with appropriate resources.	enhancement,family-portal
[Family] Family data export	Families can export all data related to their loved one's care.	enhancement,family-portal,data-portability

# ============================================
# CAREGIVER MOBILE FEATURES (Issues 56-95)
# ============================================

[Caregiver] Offline-first clock in/out	EVV clock in/out must work completely offline. Sync when connectivity returns.	enhancement,mobile,offline-first,evv
[Caregiver] Offline care plan access	Caregivers can view care plans and tasks offline. Pre-sync before visits.	enhancement,mobile,offline-first,care-plans
[Caregiver] Offline note-taking	Take visit notes offline that sync automatically later.	enhancement,mobile,offline-first
[Caregiver] Background sync with retry	Robust background sync that handles intermittent connectivity gracefully.	enhancement,mobile,offline-first
[Caregiver] Sync status visibility	Clear indicator showing what's synced and what's pending.	enhancement,mobile,offline-first,ux
[Caregiver] Voice-to-text notes	Dictate visit notes rather than typing on small screens.	enhancement,mobile,ai
[Caregiver] Smart documentation prompts	AI-powered prompts based on care plan and previous notes. "Did you check blood pressure today?"	enhancement,mobile,ai,care-plans
[Caregiver] One-tap task completion	Simple checkboxes for care plan tasks. Minimal taps to document.	enhancement,mobile,ux,care-plans
